26020 root      20   0  985308 118368   8912 S  23,5  0,7   0:00.16 ovs-vswitc+
25950 root      20   0  985304 118364   8912 S  17,6  0,7   0:00.19 ovs-vswitc+
25848 root      10 -10   20924   5016   4272 S   0,0  0,0   0:00.00 ovsdb-serv+
25887 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
25946 root      20   0   20912   4920   4136 S   0,0  0,0   0:00.01 ovsdb-serv+
26016 root      20   0   20912   4964   4184 S   0,0  0,0   0:00.01 ovsdb-serv+
26096 root      20   0   22564   6096   5352 S   0,0  0,0   0:00.00 tcpdump
26098 root      20   0   22564   6180   5432 S   0,0  0,0   0:00.00 tcpdump
26099 root      20   0   22564   6072   5320 S   0,0  0,0   0:00.00 tcpdump
26100 root      20   0   22564   5952   5204 S   0,0  0,0   0:00.00 tcpdump
26101 root      20   0   22564   6144   5396 S   0,0  0,0   0:00.00 tcpdump
26102 root      20   0   22564   6184   5296 S   0,0  0,0   0:00.00 tcpdump
26103 root      20   0   22564   6152   5264 S   0,0  0,0   0:00.00 tcpdump
26020 root      20   0  985308 118368   8912 S   1,0  0,7   0:00.17 ovs-vswitc+
25848 root      10 -10   20924   5016   4272 S   0,0  0,0   0:00.00 ovsdb-serv+
25887 root      10 -10   26456   9856   8912 S   0,0  0,1   0:00.00 ovs-vswitc+
25946 root      20   0   20912   4920   4136 S   0,0  0,0   0:00.01 ovsdb-serv+
25950 root      20   0  985304 118364   8912 S   0,0  0,7   0:00.19 ovs-vswitc+
26016 root      20   0   20912   4964   4184 S   0,0  0,0   0:00.01 ovsdb-serv+
26096 root      20   0   22564   6096   5352 S   0,0  0,0   0:00.00 tcpdump
26098 root      20   0   22564   6180   5432 S   0,0  0,0   0:00.00 tcpdump
26099 root      20   0   22564   6072   5320 S   0,0  0,0   0:00.00 tcpdump
26100 root      20   0   22564   5952   5204 S   0,0  0,0   0:00.00 tcpdump
26101 root      20   0   22564   6144   5396 S   0,0  0,0   0:00.00 tcpdump
